Phylum,Abundance
Actinobacteria,0.17134253
Actinobacteria,0.1342207
Actinobacteria,0.03645194
Actinobacteria,0
Actinobacteria,0.15369311
Actinobacteria,0.01573473
Actinobacteria,0.01092224
Actinobacteria,0.16123381
Actinobacteria,0.15298822
Actinobacteria,0.3276595
Actinobacteria,0.10705096
Actinobacteria,0.10970101
Actinobacteria,0.04767114
Actinobacteria,0.17973784
Actinobacteria,0.13233275
Actinobacteria,0.02599734
Actinobacteria,0.08846858
Bacteroidetes,0.26983808
Bacteroidetes,0.2997287
Bacteroidetes,0.60439179
Bacteroidetes,0.82767418
Bacteroidetes,0.36942576
Bacteroidetes,0.51618447
Bacteroidetes,0.6196485
Bacteroidetes,0.09284944
Bacteroidetes,0.48490375
Bacteroidetes,0.2211375
Bacteroidetes,0.43703846
Bacteroidetes,0.35902912
Bacteroidetes,0.03653754
Bacteroidetes,0.27346957
Bacteroidetes,0.31171806
Bacteroidetes,0.20612225
Bacteroidetes,0.24812554
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Chloroflexi,0
Firmicutes,0.35992491
Firmicutes,0.3391713
Firmicutes,0.20213553
Firmicutes,0.04997016
Firmicutes,0.30536629
Firmicutes,0.14723286
Firmicutes,0.1385883
Firmicutes,0.49882888
Firmicutes,0.24101725
Firmicutes,0.432795
Firmicutes,0.31020649
Firmicutes,0.35213022
Firmicutes,0.8684218
Firmicutes,0.31151387
Firmicutes,0.27684153
Firmicutes,0.3485737
Firmicutes,0.28367983
Fusobacteria,0.08153232
Fusobacteria,0.1006913
Fusobacteria,0.15434256
Fusobacteria,0.10945925
Fusobacteria,0.08718792
Fusobacteria,0.11174825
Fusobacteria,0.14605391
Fusobacteria,0.03771298
Fusobacteria,0.02486686
Fusobacteria,0
Fusobacteria,0.06082091
Fusobacteria,0.01166124
Fusobacteria,0
Fusobacteria,0.18668802
Fusobacteria,0.05343433
Fusobacteria,0.05638565
Fusobacteria,0.09181438
Proteobacteria,0.05677431
Proteobacteria,0.126164
Proteobacteria,0
Proteobacteria,0
Proteobacteria,0.07739152
Proteobacteria,0.20175368
Proteobacteria,0.03288676
Proteobacteria,0.20910195
Proteobacteria,0.04649021
Proteobacteria,0.0184061
Proteobacteria,0.08390705
Proteobacteria,0.06155545
Proteobacteria,0.04615243
Proteobacteria,0.03807309
Proteobacteria,0.13530343
Proteobacteria,0.35383497
Proteobacteria,0.27336733
Spirochaetes,0.05857976
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0.04973372
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0.10592295
Spirochaetes,0
Spirochaetes,0
Spirochaetes,0.08883794
Spirochaetes,0
Spirochaetes,0.01452446
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Synergistetes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0.04913382
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Tenericutes,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Thermotogae,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
Verrucomicrobia,0
